=== FILE: Background.output000000001.wav.3dfetemi.ingestion-84f9b89597-pnvsl.wav ===
Timestamp_ms,Peak,Mean,CV
1000.0,534.7031,511.2308,0.0176
1020.0,538.9062,510.9008,0.0227
1040.0,539.3438,511.3496,0.017
1060.0,532.4844,511.0646,0.0148
1080.0,539.0625,511.1344,0.0163
1100.0,546.8281,511.0912,0.0246
1120.0,539.8438,511.1872,0.0182
1140.0,535.5312,511.3806,0.0148
1160.0,533.7344,510.9753,0.0162
1180.0,550.4844,511.1231,0.0241
1200.0,535.8438,511.0804,0.0173
1220.0,530.9062,510.9702,0.0145
1240.0,535.7188,511.6253,0.0147
1260.0,539.9844,511.0008,0.0205
1280.0,538.6719,510.6244,0.017
1300.0,548.1094,510.9272,0.0182
1320.0,534.9062,511.1682,0.0164
1340.0,537.4844,511.2142,0.0173
1360.0,533.9375,510.5103,0.0165
1380.0,537.6406,511.3354,0.017
1400.0,536.5156,510.6071,0.0183
1420.0,536.25,510.5793,0.0164
1440.0,535.8438,510.9542,0.0162
1460.0,540.4062,511.3517,0.0184
1480.0,544.4375,510.5426,0.0224
1500.0,535.9375,510.2662,0.0181
1520.0,536.7188,511.2727,0.0169
1540.0,537.1719,510.5137,0.0171
1560.0,534.1406,510.6456,0.0164
1580.0,527.25,510.6786,0.0136
1600.0,537.0938,510.3298,0.0175
1620.0,541.5,511.2028,0.0232
1640.0,544.8281,511.4542,0.024
1660.0,543.3281,511.3597,0.0228
1680.0,533.4844,511.3002,0.0143
1700.0,537.6562,511.3482,0.0159
1720.0,537.9844,511.7352,0.0168
1740.0,541.6719,511.149,0.0181
1760.0,540.8438,511.3538,0.0157
1780.0,539.6094,511.4372,0.0182
1800.0,533.2344,511.0208,0.0164
1820.0,539.9531,511.0674,0.0202
1840.0,544.8594,511.727,0.0251
1860.0,544.8125,511.0246,0.0248
1880.0,543.0469,511.5358,0.0197
1900.0,538.9062,511.8214,0.0177
1920.0,532.8438,511.5082,0.0147
1940.0,534.3125,511.5216,0.016
1960.0,540.0312,511.3474,0.0167
1980.0,533.4844,511.0188,0.0164
2000.0,542.1094,511.626,0.0162
2020.0,534.2656,511.0862,0.0164
2040.0,551.4688,511.6092,0.0244
2060.0,541.2656,511.1256,0.0233
2080.0,555.7656,511.5166,0.0249
2100.0,542.3906,511.516,0.0184
2120.0,534.6094,511.7012,0.0166
2140.0,533.4844,511.0968,0.0155
2160.0,539.7812,511.7048,0.0189
2180.0,536.8281,511.1301,0.0163
2200.0,529.8438,511.4176,0.0142
2220.0,536.5469,511.3202,0.0156
2240.0,535.7969,510.9192,0.0177
2260.0,548.7812,511.266,0.0238
2280.0,547.8438,511.3762,0.0235
2300.0,543.2188,511.3362,0.0223
2320.0,538.0312,511.2318,0.019
2340.0,544.3906,511.5828,0.0201
2360.0,533.6562,511.3148,0.0166
2380.0,536.6719,511.2668,0.0163
2400.0,547.2031,511.2427,0.0199
2420.0,543.4062,510.9937,0.0194
2440.0,539.5469,511.0888,0.0162
2460.0,534.7656,511.2182,0.017
2480.0,538.0312,511.1417,0.0167
2500.0,541.375,510.9998,0.0212
2520.0,532.7344,511.3098,0.0157
2540.0,536.125,511.2039,0.0183
2560.0,537.2031,510.7496,0.0204
2580.0,545.2188,510.9607,0.0165
2600.0,533.9688,511.2028,0.0161
2620.0,547.7812,510.4051,0.024
2640.0,538.0,511.1761,0.0191
2660.0,541.9844,510.6056,0.0224
2680.0,542.1719,511.2736,0.0218
2700.0,538.2344,510.7592,0.0163
2720.0,540.2969,510.9106,0.0207
2740.0,539.3125,510.584,0.0203
2760.0,542.4375,510.7931,0.0215
2780.0,540.0156,510.559,0.0192
2800.0,546.0,511.3719,0.0241
2820.0,549.2812,510.7674,0.0226
2840.0,540.5312,511.4032,0.0219
2860.0,536.1562,511.1232,0.0185
2880.0,542.4688,511.2117,0.0222
2900.0,547.5938,510.9478,0.0195
2920.0,549.4844,510.9018,0.0257
2940.0,551.5625,511.3882,0.0273
2960.0,549.0312,510.9644,0.0253
2980.0,544.8594,511.4074,0.0225

=== FILE: Background.output000000018.wav.3dfeulv4.ingestion-84f9b89597-kbmgb.wav ===
Timestamp_ms,Peak,Mean,CV
20.0,548.7344,509.8776,0.0304
40.0,550.5,510.099,0.0335
60.0,557.3125,510.0023,0.0328
80.0,549.1094,509.9222,0.0314
100.0,545.1719,509.8572,0.0279
120.0,546.875,509.5867,0.0323
140.0,556.0938,510.5094,0.0316
160.0,551.3125,509.5514,0.0316
180.0,550.9688,510.7747,0.0276
200.0,551.4375,509.879,0.0264
220.0,553.2031,509.8562,0.0312
240.0,549.1719,510.1384,0.0318
260.0,548.8594,509.8084,0.0281
280.0,551.3125,509.989,0.0305
300.0,535.9219,509.9083,0.0234
320.0,548.5,510.522,0.0271
340.0,551.2188,509.7575,0.0343
360.0,543.0156,509.8724,0.022
380.0,544.2656,509.9807,0.0264
400.0,547.5156,510.2034,0.0283
420.0,554.2031,509.6958,0.0309
440.0,546.4219,510.5552,0.0291
460.0,548.7188,509.3256,0.0249
480.0,562.5625,510.947,0.0283
500.0,550.4062,508.9406,0.0385
520.0,558.3125,511.1064,0.0416
540.0,550.7656,508.94,0.0356
560.0,547.0156,510.6331,0.0305
580.0,573.6875,509.4994,0.0362
600.0,559.625,510.4406,0.0311
620.0,568.5469,509.1764,0.0391
640.0,559.2969,511.3478,0.0438
660.0,577.125,509.7516,0.0478
680.0,566.9062,510.4381,0.0464
700.0,588.0938,508.7162,0.0421
720.0,565.1875,510.4264,0.0496
740.0,562.9688,510.0996,0.0303
760.0,541.7969,510.1594,0.0273
780.0,561.0625,510.0171,0.0457
800.0,569.9375,509.3144,0.0514
820.0,550.8438,509.9113,0.0342
840.0,552.0,510.6282,0.0362
860.0,559.7969,509.4374,0.0444
880.0,547.8594,510.4094,0.0328
900.0,545.0625,510.207,0.0287
920.0,560.7812,509.9426,0.0333
940.0,555.0625,509.737,0.0323
960.0,567.625,509.6628,0.0399
980.0,544.1719,510.0489,0.0326
1000.0,553.7344,510.1502,0.0376
1020.0,559.1094,509.8418,0.0347
1040.0,547.8438,509.747,0.0336
1060.0,561.4375,509.8094,0.0478
1080.0,554.9844,510.7128,0.0307
1100.0,549.6094,509.5638,0.0313
1120.0,566.2656,510.6084,0.0368
1140.0,572.2344,509.633,0.059
1160.0,576.8125,509.599,0.0569
1180.0,567.75,510.3738,0.0422
1200.0,552.0,510.381,0.0307
1220.0,563.0938,509.634,0.0333
1240.0,571.2188,509.9856,0.0501
1260.0,558.2344,509.9526,0.0423
1280.0,556.2812,510.2241,0.0359
1300.0,547.9844,509.4872,0.0327
1320.0,554.0,509.8584,0.0371
1340.0,551.4531,510.6396,0.0366
1360.0,547.125,510.2778,0.0264
1380.0,550.75,509.6941,0.03
1400.0,545.7188,510.2399,0.028
1420.0,563.1094,509.6218,0.0349
1440.0,564.9062,509.2479,0.0407
1460.0,563.9219,510.5192,0.0466
1480.0,559.5781,509.3493,0.0381
1500.0,553.6875,510.7181,0.0377
1520.0,540.0625,509.7322,0.0301
1540.0,551.25,509.9572,0.0327
1560.0,549.0469,510.6566,0.0278
1580.0,551.1719,509.5952,0.0312
1600.0,557.875,509.9681,0.0319
1620.0,546.9375,509.9382,0.0327
1640.0,561.6562,510.1812,0.0404
1660.0,554.7188,509.7102,0.0325
1680.0,554.4219,510.777,0.0388
1700.0,543.3906,509.5809,0.0317
1720.0,545.6719,510.6994,0.0294
1740.0,545.0938,509.5936,0.029
1760.0,550.0938,509.7612,0.0377
1780.0,559.0,509.5493,0.0372
1800.0,572.6719,510.5532,0.0398
1820.0,551.5938,509.5196,0.0294
1840.0,570.0938,509.9202,0.037
1860.0,559.5469,510.19,0.0329
